# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 83 3 1 -1 2.6865 2.598 2.635 2.737 2.77 12.922 10.093 2.8292 92595000000.0 11798000000.0 1.0 2.686 3.0 8.669 10.37 14036000000.0 7865600000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 83 00000 -1.0 1.0
goodss 87 3 1 0 0.8012 0.773 0.778 0.823 0.844 2.0734 0.46884 1.6046 4301300000.0 6691400000.0 0.0 0.8012 3.0 12.35 11.9 7035400000.0 4460900000.0 -1.74 -99.0 -99.0 -99.0 -99.0 -99.0 87 00000 -1.0 1.0
goodss 90 3 1 0 1.1167 1.079 1.088 1.145 1.161 14.305 11.473 2.8317 105260000000.0 11808000000.0 0.0 1.117 3.0 118.1 13.44 7019600000.0 7872300000.0 -0.62 -99.0 -99.0 -99.0 -99.0 -99.0 90 00000 -1.0 1.0
goodss 92 3 1 0 0.6943 0.67 0.674 0.715 0.719 6.4705 4.5823 1.8882 42040000000.0 7874000000.0 0.0 0.6943 3.0 162.5 12.16 4564100000.0 5249300000.0 -0.61 -99.0 -99.0 -99.0 -99.0 -99.0 92 00000 -1.0 1.0
goodss 99 3 1 0 2.1385 2.026 2.095 2.187 2.227 17.222 4.5774 12.644 41995000000.0 52728000000.0 0.0 2.138 3.0 11.29 10.42 48968000000.0 35152000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 -99.0 99 00000 -1.0 1.0
goodss 104 3 1 0 0.6413 0.608 0.622 0.663 0.668 18.234 14.877 3.3566 136490000000.0 13997000000.0 0.0 0.6413 3.0 614.4 14.2 5144600000.0 9331600000.0 0.29 -99.0 -99.0 -99.0 -99.0 -99.0 104 00000 -1.0 2.0
goodss 105 3 1 0 1.1526 1.082 1.103 1.203 1.301 1.9116 -99.0 1.9116 -99.0 7971500000.0 2.0 1.153 3.0 -1.494 12.18 9246400000.0 5314300000.0 -1.9 -99.0 -99.0 -99.0 -99.0 -99.0 105 00000 -1.0 1.0
goodss 106 2 1 1 1.4097 1.3877 1.4115 1.6806 1.7409 3.0217 1.8593 1.1624 17058000000.0 4847200000.0 1.0 1.41 2.0 7.281 7.327 4696800000.0 3231500000.0 -1.59 1.75 1.38 187.4 384.46 1.242 106 goodss-15-G141_00106 1.40969 1.0
goodss 110 3 1 -1 2.416 2.317 2.361 2.473 2.511 12.214 8.9702 3.2436 82296000000.0 13526000000.0 0.0 2.416 3.0 14.47 9.0 16386000000.0 9017500000.0 -1.93 -99.0 -99.0 -99.0 -99.0 -99.0 110 00000 -1.0 1.0
goodss 116 3 1 -1 2.9611 2.76 2.88 3.044 3.104 77.963 67.625 10.338 620410000000.0 43111000000.0 0.0 2.961 3.0 33.48 13.48 38525000000.0 28740000000.0 -1.32 -99.0 -99.0 -99.0 -99.0 -99.0 116 00000 -1.0 1.0
