# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 655 3 1 0 0.9213 0.727 0.848 1.025 1.077 0.060991 -99.0 0.060991 -99.0 254340000.0 2.0 0.9213 3.0 -1.493 18.57 228990000.0 169560000.0 -1.6 -99.0 -99.0 -99.0 -99.0 655 00000 -1.0 1.0
cosmos 660 3 1 0 0.7571 0.577 0.666 0.839 0.896 0.027509 -99.0 0.027509 -99.0 114720000.0 2.0 0.7571 3.0 -45.15 20.42 60678000.0 76478000.0 -0.92 -99.0 -99.0 -99.0 -99.0 660 00000 -1.0 3.0
cosmos 705 3 1 0 1.2947 1.11 1.174 1.422 1.615 7.2859 7.0468 0.23916 64649000000.0 997310000.0 0.0 1.295 3.0 38.01 26.11 1092300000.0 664880000.0 -1.8 -99.0 -99.0 -99.0 -99.0 705 cosmos-14-G141_00705 2.14087 1.0
cosmos 733 3 1 0 0.7612 0.559 0.679 0.852 0.961 0.8107 0.75053 0.060174 6885600000.0 250930000.0 1.0 0.7612 3.0 21.75 27.17 238850000.0 167290000.0 -1.75 -99.0 -99.0 -99.0 -99.0 733 00000 -1.0 1.0
cosmos 762 3 1 0 0.6612 0.378 0.523 0.813 0.92 0.98851 0.96375 0.024763 8841700000.0 103260000.0 0.0 0.6612 3.0 37.64 28.01 89855000.0 68842000.0 -1.88 -99.0 -99.0 -99.0 -99.0 762 00000 -1.0 3.0
cosmos 819 3 1 0 2.4829 2.235 2.378 2.593 2.711 1.0117 -99.0 1.0117 -99.0 4219000000.0 2.0 2.483 3.0 -51.49 20.78 4822000000.0 2812700000.0 -1.88 -99.0 -99.0 -99.0 -99.0 819 00000 -1.0 1.0
cosmos 821 3 1 0 1.5665 1.418 1.474 1.642 1.683 9.2275 7.04 2.1875 64587000000.0 9122200000.0 0.0 1.566 3.0 23.96 23.68 8251600000.0 6081500000.0 -1.5 -99.0 -99.0 -99.0 -99.0 821 00000 -1.0 1.0
cosmos 823 3 1 0 1.6542 1.187 1.345 1.934 2.193 1.5395 0.82014 0.71932 7524300000.0 2999700000.0 1.0 1.654 3.0 2.849 19.86 1362900000.0 1999800000.0 -0.18 -99.0 -99.0 -99.0 -99.0 823 00000 -1.0 2.0
cosmos 842 3 1 0 1.0203 0.811 0.917 1.109 1.14 1.9777 1.4613 0.51636 13407000000.0 2153300000.0 1.0 1.02 3.0 21.24 25.61 2134300000.0 1435500000.0 -1.54 -99.0 -99.0 -99.0 -99.0 842 00000 -1.0 1.0
cosmos 882 3 1 0 0.957 0.906 0.928 0.989 1.012 1.9962 1.571 0.4252 14412000000.0 1773100000.0 0.0 0.957 3.0 28.84 24.04 1979200000.0 1182100000.0 -1.86 -99.0 -99.0 -99.0 -99.0 882 00000 -1.0 1.0
cosmos 892 3 1 0 1.4665 0.98 1.146 1.761 1.961 18.375 18.138 0.23708 166410000000.0 988660000.0 0.0 1.466 3.0 66.23 26.37 1088800000.0 659110000.0 -1.83 -99.0 -99.0 -99.0 -99.0 892 00000 -1.0 1.0
cosmos 903 3 1 0 0.724 0.598 0.658 0.79 0.848 0.32172 0.29622 0.025507 2717600000.0 106370000.0 1.0 0.724 3.0 9.571 27.42 47425000.0 70912000.0 -0.09 -99.0 -99.0 -99.0 -99.0 903 00000 -1.0 3.0
