# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 74 3 1 0 2.0904 2.034 2.046 2.13 2.183 147.31 145.1 2.2144 1331200000000.0 9234500000.0 0.0 2.09 3.0 384.4 29.32 5419300000.0 6156300000.0 -0.6 -99.0 -99.0 -99.0 -99.0 -99.0 74 00000 -1.0 1.0
cosmos 79 3 1 -1 1.9459 1.784 1.859 2.019 2.058 1.8242 -99.0 1.8242 -99.0 7607000000.0 2.0 1.946 3.0 -14.82 31.06 6462600000.0 5071300000.0 -1.39 -99.0 -99.0 -99.0 -99.0 -99.0 79 00000 -1.0 1.0
cosmos 80 3 1 -1 1.2294 1.168 1.196 1.264 1.287 1.6556 -99.0 1.6556 -99.0 6904300000.0 2.0 1.229 3.0 -3.113 25.57 8118900000.0 4602900000.0 -1.92 -99.0 -99.0 -99.0 -99.0 -99.0 80 00000 -1.0 1.0
cosmos 81 3 1 -1 0.9814 0.891 0.941 1.024 1.087 0.31504 -99.0 0.31504 -99.0 1313800000.0 2.0 0.9814 3.0 -39.5 25.15 1470000000.0 875840000.0 -1.85 -99.0 -99.0 -99.0 -99.0 -99.0 81 00000 -1.0 1.0
cosmos 83 3 1 -1 0.9554 0.92 0.929 0.982 0.995 4.1529 3.4084 0.74448 31270000000.0 3104600000.0 0.0 0.9554 3.0 62.93 26.1 3548500000.0 2069700000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 83 00000 -1.0 1.0
cosmos 84 3 1 -1 1.4515 1.255 1.325 1.521 1.557 5.967 5.5172 0.44976 50616000000.0 1875600000.0 1.0 1.451 3.0 20.49 29.26 2084700000.0 1250400000.0 -1.79 -99.0 -99.0 -99.0 -99.0 -99.0 84 00000 -1.0 1.0
cosmos 86 3 1 -1 1.5076 1.393 1.443 1.568 1.619 1.261 -99.0 1.261 -99.0 5258400000.0 2.0 1.508 3.0 -42.27 28.59 4821700000.0 3505600000.0 -1.55 -99.0 -99.0 -99.0 -99.0 -99.0 86 00000 -1.0 1.0
cosmos 89 3 1 -1 2.3727 2.23 2.302 2.446 2.499 2.5182 -99.0 2.5182 -99.0 10501000000.0 2.0 2.373 3.0 -4.128 27.76 11061000000.0 7000800000.0 -1.76 -99.0 -99.0 -99.0 -99.0 -99.0 89 00000 -1.0 1.0
cosmos 90 3 1 -1 1.1539 1.061 1.095 1.228 1.292 6.7127 6.4568 0.25588 59237000000.0 1067100000.0 0.0 1.154 3.0 59.03 25.62 814150000.0 711370000.0 -1.21 -99.0 -99.0 -99.0 -99.0 -99.0 90 00000 -1.0 1.0
cosmos 92 3 1 0 0.7551 0.72 0.73 0.781 0.79 4.0442 3.309 0.73523 30357000000.0 3066000000.0 0.0 0.7551 3.0 97.57 37.22 3241700000.0 2044000000.0 -1.77 -99.0 -99.0 -99.0 -99.0 -99.0 92 00000 -1.0 1.0
cosmos 98 3 1 0 0.984 0.943 0.961 1.01 1.016 14.432 13.524 0.90735 124080000000.0 3783800000.0 0.0 0.984 3.0 225.1 23.11 1930000000.0 2522500000.0 -0.41 -99.0 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 2.0
cosmos 100 3 1 0 0.8377 0.793 0.811 0.859 0.952 1.1838 1.0129 0.17086 9293000000.0 712500000.0 1.0 0.8377 3.0 25.27 31.34 201790000.0 475000000.0 0.66 -99.0 -99.0 -99.0 -99.0 -99.0 100 00000 -1.0 2.0
cosmos 103 3 1 0 1.2215 1.185 1.195 1.253 1.27 62.817 62.03 0.78652 569090000000.0 3279900000.0 0.0 1.222 3.0 442.9 20.65 636900000.0 2186600000.0 1.28 -99.0 -99.0 -99.0 -99.0 -99.0 103 00000 -1.0 2.0
cosmos 104 3 1 -1 0.9891 0.854 0.906 1.048 1.074 0.36852 -99.0 0.36852 -99.0 1536800000.0 2.0 0.9891 3.0 -72.91 23.79 1803800000.0 1024500000.0 -1.92 -99.0 -99.0 -99.0 -99.0 -99.0 104 00000 -1.0 1.0
cosmos 106 3 1 0 1.2449 1.132 1.189 1.289 1.309 1.0582 0.18139 0.87684 1664100000.0 3656500000.0 1.0 1.245 3.0 1.184 22.83 463850000.0 2437700000.0 2.01 -99.0 -99.0 -99.0 -99.0 -99.0 106 00000 -1.0 3.0
cosmos 116 3 1 0 2.1279 2.039 2.07 2.185 2.244 17.097 8.8291 8.2675 81001000000.0 34477000000.0 1.0 2.128 3.0 22.1 26.81 27543000000.0 22985000000.0 -1.2 -99.0 -99.0 -99.0 -99.0 -99.0 116 00000 -1.0 1.0
cosmos 117 3 1 0 1.0731 1.022 1.045 1.103 1.118 13.085 12.329 0.75593 113110000000.0 3152300000.0 0.0 1.073 3.0 147.3 23.93 2646200000.0 2101600000.0 -1.47 -99.0 -99.0 -99.0 -99.0 -99.0 117 00000 -1.0 1.0
cosmos 118 3 1 -1 1.0693 0.887 1.007 1.168 1.217 0.41188 -99.0 0.41188 -99.0 1717600000.0 2.0 1.069 3.0 -12.03 16.54 1684500000.0 1145100000.0 -1.61 -99.0 -99.0 -99.0 -99.0 -99.0 118 00000 -1.0 1.0
cosmos 119 3 1 0 1.736 1.692 1.701 1.769 1.795 64.553 61.217 3.336 561620000000.0 13911000000.0 0.0 1.736 3.0 226.9 24.33 7804200000.0 9274300000.0 -0.49 -99.0 -99.0 -99.0 -99.0 -99.0 119 00000 -1.0 1.0
cosmos 122 3 1 -1 2.5873 2.471 2.52 2.653 2.7 77.837 70.6 7.2368 647710000000.0 30179000000.0 0.0 2.587 3.0 77.6 33.74 29385000000.0 20119000000.0 -1.6 -99.0 -99.0 -99.0 -99.0 -99.0 122 00000 -1.0 1.0
cosmos 125 3 1 -1 0.9557 0.916 0.927 0.984 1.004 0.98629 0.47095 0.51534 4320700000.0 2149000000.0 1.0 0.9557 3.0 8.686 25.69 1708700000.0 1432700000.0 -1.27 -99.0 -99.0 -99.0 -99.0 -99.0 125 00000 -1.0 1.0
cosmos 129 3 1 0 1.9362 1.838 1.875 1.997 2.058 14.408 9.8984 4.5093 90811000000.0 18804000000.0 0.0 1.936 3.0 32.77 23.14 18935000000.0 12536000000.0 -1.68 -99.0 -99.0 -99.0 -99.0 -99.0 129 00000 -1.0 1.0
cosmos 133 3 1 -1 0.8457 0.736 0.794 0.911 0.958 0.28984 -99.0 0.28984 -99.0 1208700000.0 2.0 0.8457 3.0 -7.228 21.9 1430900000.0 805800000.0 -1.93 -99.0 -99.0 -99.0 -99.0 -99.0 133 00000 -1.0 1.0
cosmos 134 3 1 0 2.1616 2.067 2.102 2.218 2.263 42.476 35.942 6.5341 329740000000.0 27248000000.0 0.0 2.162 3.0 85.54 21.99 23446000000.0 18165000000.0 -1.37 -99.0 -99.0 -99.0 -99.0 -99.0 134 00000 -1.0 1.0
cosmos 136 3 1 0 1.26 1.223 1.234 1.288 1.294 9.81 6.6562 3.1538 61066000000.0 13152000000.0 0.0 1.26 3.0 41.02 19.36 12653000000.0 8767800000.0 -1.59 -99.0 -99.0 -99.0 -99.0 -99.0 136 00000 -1.0 1.0
cosmos 137 3 1 0 1.7013 1.642 1.665 1.74 1.766 147.15 145.74 1.4097 1337000000000.0 5878500000.0 0.0 1.701 3.0 525.5 28.14 740970000.0 3919000000.0 1.95 -99.0 -99.0 -99.0 -99.0 -99.0 137 00000 -1.0 2.0
