# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 154 3 1 -1 0.5032 0.419 0.47 3.502 3.595 0.03008 -99.0 0.03008 -99.0 125440000.0 2.0 0.5032 3.0 -2.721 10.5 15534000.0 83626000.0 2.1 -99.0 -99.0 -99.0 -99.0 -99.0 154 goodsn-41-G141_00154 0.58725 1.0
goodsn 155 3 1 0 1.1825 1.033 1.095 1.275 1.345 2.2237 1.5339 0.68975 14073000000.0 2876400000.0 0.0 1.183 3.0 12.67 9.3 2639500000.0 1917600000.0 -1.55 0.0 0.0 0.0 0.0 0.531 155 goodsn-41-G141_00155 1.22777 1.0
goodsn 157 2 1 1 0.9848 0.9811 0.9828 0.9862 0.9882 2.6816 1.4697 1.2119 13484000000.0 5053700000.0 0.0 0.9848 2.0 24.39 13.76 4177500000.0 3369100000.0 -1.33 5.32 0.79 214.32 33.41 1.201 157 goodsn-41-G141_00157 0.98476 1.0
goodsn 159 2 1 1 1.0208 1.017 1.0191 1.0244 1.0278 2.7121 0.47308 2.239 4340200000.0 9337200000.0 1.0 1.021 2.0 6.851 8.173 10211000000.0 6224800000.0 -1.75 6.74 1.02 246.66 42.9 1.18 159 goodsn-41-G141_00159 1.02081 1.0
goodsn 163 3 1 0 1.2882 1.212 1.252 1.329 1.36 7.1224 3.2432 3.8792 29754000000.0 16177000000.0 0.0 1.288 3.0 17.97 10.19 17224000000.0 10785000000.0 -1.74 0.0 0.0 0.0 1001.01 1.487 163 goodsn-41-G141_00163 1.21223 1.0
goodsn 166 2 1 1 1.0886 1.0837 1.0858 1.0903 1.0924 22.172 19.561 2.6113 179460000000.0 10890000000.0 0.0 1.089 2.0 220.9 16.93 2087400000.0 7259700000.0 1.28 11.29 1.03 37.11 3.42 0.954 166 goodsn-41-G141_00166 1.08861 2.0
goodsn 168 3 1 0 2.2258 2.051 2.132 2.321 2.406 78.982 70.04 8.9425 642570000000.0 37292000000.0 0.0 2.226 3.0 151.0 19.09 16111000000.0 24861000000.0 -0.07 -99.0 -99.0 -99.0 -99.0 -99.0 168 00000 -1.0 1.0
goodsn 171 2 1 1 0.9689 0.9627 0.9655 0.9707 0.9729 18.148 15.787 2.3605 144840000000.0 9843600000.0 0.0 0.969 2.0 277.7 13.58 5514300000.0 6562400000.0 -0.56 11.0 1.14 75.38 8.04 0.922 171 goodsn-41-G141_00171 0.96895 1.0
goodsn 172 3 1 0 2.2954 2.107 2.202 2.395 2.47 151.87 143.01 8.8616 1312000000000.0 36954000000.0 0.0 2.295 3.0 278.3 16.02 24018000000.0 24636000000.0 -0.68 -99.0 -99.0 -99.0 -99.0 -99.0 172 00000 -1.0 1.0
goodsn 177 3 1 -1 0.9411 0.768 0.859 1.01 1.039 0.96672 0.51988 0.44684 4769500000.0 1863400000.0 1.0 0.9411 3.0 10.1 12.85 1102900000.0 1242300000.0 -0.55 2.78 0.94 237.34 93.56 1.068 177 goodsn-41-G141_00177 0.90503 1.0
goodsn 178 3 1 -1 0.5376 0.398 0.467 0.611 0.673 0.21887 0.18526 0.033612 1699600000.0 140170000.0 1.0 0.5376 3.0 11.28 12.69 65955000.0 93444000.0 -0.02 -99.0 -99.0 -99.0 -99.0 -99.0 178 goodsn-41-G141_00178 0.27634 1.0
goodsn 191 2 1 1 1.4085 1.371 1.3964 1.4166 1.4294 136.58 132.75 3.8261 1217900000000.0 15955000000.0 0.0 1.408 2.0 521.5 8.15 8903800000.0 10637000000.0 -0.42 3.76 1.59 44.29 19.46 0.981 191 goodsn-41-G141_00191 1.40849 2.0
goodsn 193 3 1 -1 2.5898 2.388 2.481 2.697 2.789 11.672 7.0867 4.5849 65016000000.0 19120000000.0 0.0 2.59 3.0 7.731 7.595 14832000000.0 12747000000.0 -1.15 -99.0 -99.0 -99.0 -99.0 -99.0 193 00000 -1.0 1.0
