# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj RAdeg DEdeg z_bez Re n logM sigmaA e_sigmaA sigmaRe e_sigmaRe Exp
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 21739 2 1 1 0.4492 0.4441 0.4464 0.4515 0.4543 0.41326 0.18211 0.23115 1670700000.0 963940000.0 1.0 2.0 17.91 20.94 286360000.0 642630000.0 0.34 -99.0 -99.0 -99.0 -99.0 21739 cosmos-01-G141_21739 0.44918 3.0 150.08 2.403 0.442 1.0 3.2 10.51 197 5 211 5 49200
cosmos 21957 2 1 1 0.7674 0.7609 0.7638 0.7693 0.7724 40.142 39.422 0.72019 361670000000.0 3003300000.0 0.0 2.0 1124.0 18.46 602010000.0 2002200000.0 1.2 10.71 2.76 44.58 11.72 21957 cosmos-28-G141_21957 0.76738 2.0 150.114 2.404 0.726 1.7 2.3 10.34 179 20 188 21 49200
cosmos 22801 2 1 1 0.7246 0.7214 0.7232 0.7259 0.7272 15.021 12.132 2.8885 111300000000.0 12046000000.0 0.0 2.0 391.3 16.43 5886200000.0 8030300000.0 -0.42 44.49 2.65 131.06 8.33 22801 cosmos-01-G141_22801 0.72461 1.0 150.091 2.413 0.727 3.0 3.2 10.17 86 10 88 10 49200
cosmos 23079 2 1 1 0.8349 0.8261 0.8306 0.8391 0.8438 2.2549 1.905 0.34996 17477000000.0 1459400000.0 0.0 2.0 47.69 22.0 91883000.0 972930000.0 3.03 -99.0 -99.0 -99.0 -99.0 23079 cosmos-15-G141_23079 0.83492 2.0 150.124 2.416 0.842 1.4 2.0 10.75 166 17 178 18 49200
cosmos 24367 2 1 1 0.8917 0.8812 0.8859 0.8953 0.9 0.68375 0.022617 0.66113 207500000.0 2757000000.0 1.0 2.0 0.511 17.42 732330000.0 1838000000.0 0.3 0.37 1.56 1.66 6.99 24367 cosmos-07-G141_24367 0.89175 3.0 150.098 2.431 0.892 2.1 4.7 10.52 165 14 172 15 49200
cosmos 24609 2 1 1 0.6762 0.6676 0.6722 0.6828 0.6886 0.30695 0.096106 0.21084 881700000.0 879230000.0 1.0 2.0 3.596 22.23 176780000.0 586160000.0 0.7 2.29 2.77 13.46 16.45 24609 cosmos-15-G141_24609 0.67615 3.0 150.128 2.433 0.672 1.4 6.0 10.06 187 9 199 10 49200
cosmos 24887 1 1 1 0.7514 -1.0 -1.0 -1.0 -1.0 2.4871 1.5725 0.91453 14427000000.0 3813700000.0 0.0 1.0 46.87 14.15 946250000.0 2542500000.0 0.37 1.25 2.05 2.55 4.2 24887 cosmos-08-G141_24887 0.74543 3.0 150.106 2.439 0.75 1.4 1.8 10.56 199 9 212 10 49200
cosmos 25458 1 1 1 0.8999 -1.0 -1.0 -1.0 -1.0 3.64 2.1534 1.4865 19756000000.0 6199100000.0 0.0 1.0 47.56 25.71 799400000.0 4132700000.0 2.2 12.45 2.38 21.86 4.22 25458 cosmos-15-G141_25458 0.88514 3.0 150.142 2.446 0.898 3.9 5.2 10.93 210 9 210 9 49200
cosmos 25969 1 1 1 0.895 -1.0 -1.0 -1.0 -1.0 3.379 2.5067 0.87227 22997000000.0 3637500000.0 0.0 1.0 56.12 24.59 755360000.0 2425000000.0 0.92 9.1 2.16 27.5 6.57 25969 cosmos-11-G141_25969 0.89838 3.0 150.151 2.451 0.895 3.1 3.8 10.86 237 22 241 22 49200
cosmos 902 3 1 0 0.4187 0.391 0.4 0.436 0.449 3.3084 2.5226 0.7858 23143000000.0 3276900000.0 0.0 3.0 301.6 17.58 1554500000.0 2184600000.0 -0.43 -99.0 -99.0 -99.0 -99.0 902 00000 -1.0 3.0 150.095 2.194 0.426 3.0 3.2 10.97 212 4 211 4 49200
